gene_id	ID	log2FC	AveExpr	t_stat	P.Value	adj.P.Val	B_stat
17052	USP5	0.3791354524834416	5.299471638594503	4.539088530351366	3.5087788164579964e-4	5.432848506227134e-4	-2.444590973333181
5485	FZD1	-0.27712645934660074	2.9434565872383085	-4.535160806496049	3.5370388717394674e-4	5.476124596334155e-4	-2.4527914706558374
5021	OST4	-0.4173258017929813	6.332599473443216	-4.534901563558062	3.5389122968779835e-4	5.478544291112792e-4	-2.4533327645964267
1776	STOML1	-0.4731080904522442	2.181139129792664	-4.533834943569895	3.5466309308882177e-4	5.490011659448095e-4	-2.455559888984573
12701	SSR1	-0.27828348888530163	3.9897647774750915	-4.532997722417807	3.5527015675347937e-4	5.498926219902511e-4	-2.4573080731272725
5396	PSG8	-0.10084257493869242	0.05042128746934622	-4.531720195489913	3.5619853126060875e-4	5.512812078690815e-4	-2.4599757339503405
5751	ECHDC3	0.10154730265370907	0.05077365132685451	4.530201565800176	3.573053414903153e-4	5.529456872431704e-4	-2.4631469829071273
8260	KIF26B	-0.08527030755409659	0.13625531693706747	-4.527530741853314	3.592604324915638e-4	5.559225111846477e-4	-2.4687246227593436
12955	NUMB	-0.18991397138869281	4.634432362375082	-4.525472407616557	3.6077462936590803e-4	5.582166296503552e-4	-2.4730234621401683
5537	TMEM231	0.1970982965640693	3.3172042632501584	4.525327657783746	3.6088135861787575e-4	5.583328009064777e-4	-2.4733257824945447
4372	LRRCC1	0.39452631864038423	2.9419316095171704	4.5241758556192915	3.617317747706867e-4	5.595994362069847e-4	-2.475731449055923
1586	TTC24	-0.18607015232152338	0.2632740179026521	-4.522725497139458	3.6280554014310484e-4	5.612113405703337e-4	-2.478760798572809
951	CHD2	-0.14127877551113777	4.747108781672781	-4.521347519347185	3.6382873711788633e-4	5.627115143481006e-4	-2.481639085774547
6822	ZNF511	0.32054464992686693	4.234679192133437	4.521333519356964	3.6383914772524563e-4	5.627115143481006e-4	-2.4816683292125905
10746	NPIPB8	-0.6417235337031346	0.6393660762101321	-4.51991623538808	3.6489463906088846e-4	5.64294461983888e-4	-2.4846288396558966
15614	COL2A1	-0.129488452487452	0.1366261497167834	-4.518748875999427	3.6576635479421143e-4	5.655929556735453e-4	-2.4870673835699915
8375	CENPF	0.3844863608860134	5.076847715394829	4.516981497239266	3.6709018264217177e-4	5.675902718819627e-4	-2.4907594888458355
13499	PCDHGC4	-0.10206868811440978	0.059146954210641006	-4.516618003013753	3.6736305901301973e-4	5.67962412330882e-4	-2.4915188621600013
10824	VSTM2A	0.1135697257175448	0.059280527116039504	4.5147136852289504	3.68796028860747e-4	5.701278952997983e-4	-2.4954972895924454
7179	AGAP2	0.28237870428331435	2.267917590257049	4.51463028336953	3.68858917898936e-4	5.701751537346034e-4	-2.4956715345362177
3390	PTPRO	0.0721306718748196	0.04870620350622626	4.513809163890015	3.69478667194399e-4	5.710831125498149e-4	-2.4973870571883765
14360	COMMD9	0.32913915354526857	2.9669836806636205	4.513299189439807	3.6986411186612825e-4	5.716287920755353e-4	-2.4984525409365945
4866	LOC100129083	0.23947403359301034	0.21575368766470027	4.512552719042948	3.704290440993596e-4	5.724517515768135e-4	-2.50001216108232
